,사업장명,업태구분명,지번주소,좌표정보(X),좌표정보(Y),네이버_별점,방문자리뷰수,블로그리뷰수,대표메뉴_메뉴,대표메뉴_가격,음식이 맛있어요_비율,혼밥하기 좋아요_비율,재료가 신선해요_비율,특별한 메뉴가 있어요_비율,친절해요_비율,양이 많아요_비율,매장이 청결해요_비율,가성비가 좋아요_비율,인테리어가 멋져요_비율,건강한 맛이에요_비율,아늑해요_비율,메뉴 구성이 알차요_비율,차분한 분위기예요_비율,매장이 넓어요_비율,뷰가 좋아요_비율,음악이 좋아요_비율,특별한 날 가기 좋아요_비율,비싼 만큼 가치있어요_비율,단체모임 하기 좋아요_비율,화장실이 깨끗해요_비율,반찬이 잘 나와요_비율,주차하기 편해요_비율,대화하기 좋아요_비율,컨셉이 독특해요_비율,음식이 빨리 나와요_비율,좌석이 편해요_비율,사진이 잘 나와요_비율,집중하기 좋아요_비율,혼술하기 좋아요_비율,잡내가 적어요_비율,야외공간이 멋져요_비율,기본 안주가 좋아요_비율,향신료가 강하지 않아요_비율,환기가 잘 돼요_비율,술이 다양해요_비율,고기 질이 좋아요_비율,음료가 맛있어요_비율,직접 잘 구워줘요_비율,현지 맛에 가까워요_비율,오래 머무르기 좋아요_비율,디저트가 맛있어요_비율,라이브공연이 훌륭해요_비율,코스요리가 알차요_비율,커피가 맛있어요_비율,빵이 맛있어요_비율,종류가 다양해요_비율,차가 맛있어요_비율,선물하기 좋아요_비율,주문제작을 잘해줘요_비율,포장이 깔끔해요_비율,반려동물과 가기 좋아요_비율,샐러드바가 잘 되어있어요_비율,아이와 가기 좋아요_비율,파티하기 좋아요_비율,룸이 잘 되어있어요_비율,깨끗해요_비율,조용히 쉬기 좋아요_비율,침구가 좋아요_비율,냉난방이 잘돼요_비율,화장실이 잘 되어있어요_비율,방음이 잘돼요_비율,즐길 거리가 많아요_비율,호캉스하기 좋아요_비율,근처에 갈 곳이 많아요_비율,벌레 걱정 없어요_비율,보안시설이 잘 되어있어요_비율,바비큐 해먹기 좋아요 _비율,온수가 잘 나와요_비율,어울려 놀기 좋아요_비율,공용시설 관리가 잘돼요_비율,전기 사용이 편해요_비율,취사시설이 잘 되어있어요_비율,마트 이용이 편해요_비율,도보거리_km,도보시간_분
0,365행복한식당,한식,서울특별시 마포구 당인동 1-30,193010.1069,449121.6616,,2,0,황태국,"10,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.633,8.8
1,안티플랜(ANTIPLAN),바(BAR),서울특별시 마포구 당인동 15-28 ,192860.474,449337.405,,58,47,안티오리타코 | 안티풀트포크타코 | 안티새우타코 | 하몽메론 | 브리치즈구이,"18,000 | 16,000 | 18,000 | 27,000 | 23,000",0.125,,,0.053571429,0.116071429,,0.035714286,0.017857143,0.142857143,,0.008928571,,,,,0.116071429,,,0.008928571,0.026785714,,,0.098214286,,,,,,0.053571429,,,0.026785714,,,0.133928571,,0.008928571,,,0.026785714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.768,10.2
2,프로토콜 상수점,카페,서울특별시 마포구 당인동 15-29 ,192871.5386,449343.715,,53,344,"필터커피(변동), 아메리카노 | 카페라떼","5,500 | 6,000",,,,0.027322404,0.038251366,,0.016393443,,0.158469945,0.005464481,0.043715847,,0.021857923,0.005464481,0.043715847,0.021857923,,,,,,,0.027322404,0.005464481,,0.005464481,0.06010929,0.163934426,,,,,,,,,0.049180328,,,0.005464481,0.049180328,,,0.245901639,0.005464481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.762,10.2
3,쏙티,케이크전문,서울특별시 마포구 당인동 15-46 ,192890.5398,449318.8334,,44,103,주문 제작 케이크(변동) | 선물용 와인(변동), | ,0.020942408,,0.005235602,0.09947644,0.157068063,,0.109947644,0.036649215,0.094240838,0.005235602,,0.005235602,,,,0.041884817,,,,0.020942408,,,0.031413613,0.005235602,,0.005235602,0.062827225,0.005235602,0.020942408,,,,,,0.031413613,,0.005235602,,,0.010471204,0.115183246,,,0.005235602,,,,0.068062827,0.036649215,,,,,,,,,,,,,,,,,,,,,,,,,0.704,10.3
4,프로토콜 쇼룸,"카페,디저트",서울특별시 마포구 당인동 24-11 ,192839.5976,449326.4823,,659,1467,"필터커피(변동), 아메리카노 | 카페라떼","5,500 | 6,000",,,0.000529661,0.019597458,0.075741525,,0.042902542,0.005826271,0.141949153,0.001059322,0.004237288,,0.015889831,0.015360169,0.058792373,0.009004237,,0.002648305,,0.010063559,,0.001059322,0.042902542,0.004766949,,0.013771186,0.051377119,0.174258475,0.000529661,,,,,,,,0.032838983,,,0.003707627,0.037605932,,,0.230402542,0.001059322,0.001588983,0.000529661,,,,,,,,,,,,,,,,,,,,,,,,,,,0.773,11.2
5,당인식당,한정식,서울특별시 마포구 당인동 25-22번지 ,192878.8501,449264.256,,116,147,당인식당점심메뉴(15 | 000~35 | 000원) | 당인식당저녁메뉴(15 | 000~50 | 000원), |  |  |  |  | ,0.248756219,0.014925373,0.129353234,0.019900498,0.139303483,0.044776119,0.064676617,0.024875622,0.054726368,0.009950249,0.004975124,,0.044776119,0.024875622,0.019900498,,0.024875622,0.009950249,0.014925373,0.004975124,0.094527363,,,,,,,,,,,,,,,,,,,0.004975124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.751,10.9
6,틈,"스테이크,립",서울특별시 마포구 당인동 25-29 ,192897.6883,449278.5342,,921,261,와인 페어링 디너 | 시그니처 디너 | 스몰 디너 | 스트립 로인 스테이크 100g | 도멘 생그라 엘 몰리,"100,000 | 85,000 | 70,000 | 32,000 | 89,000",0.179995048,0.003961377,0.051497896,0.006189651,0.118098539,0.003713791,0.034414459,0.005446893,0.143847487,0.001485516,0.021292399,0.00123793,0.011141372,0.025748948,0.002971032,0.005942065,0.071304778,0.00123793,0.009408269,0.007675167,,,0.0106462,0.000990344,0.000495172,0.000990344,0.001980688,0.000247586,0.021292399,,0.000247586,0.000247586,,,0.06808616,0.091359247,0.000742758,0.000495172,,0.031938599,0.00247586,,0.061153751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.722,10.0
7,상수 어촌,조개요리,서울특별시 마포구 당인동 25-30 ,192890.8072,449273.3747,,115,61,석화(회/찜) | 새우구이 | 조개구이(중) | 조개구이(대) | 조개구이(특대),"19,900 | 29,900 | 57,900 | 76,900 | 89,900",0.206225681,,0.171206226,0.046692607,0.149805447,0.070038911,0.044747082,0.019455253,0.081712062,0.003891051,0.011673152,0.056420233,0.007782101,0.009727626,0.001945525,0.013618677,0.009727626,,0.005836576,0.03307393,0.001945525,,0.013618677,0.003891051,,,0.005836576,,,,,0.005836576,,0.001945525,0.005836576,,,0.013618677,0.001945525,,,,0.001945525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.729,10.1
8,당인동국수공장,냉면,서울특별시 마포구 당인동 25-9번지 ,192882.1872,449279.8323,,493,493,당인동평양냉면 | 비빔평양냉면 | 들기름메밀면 | 녹두전 | 소고기수육,"13,000 | 13,000 | 13,000 | 15,000 | 38,000",0.26387316,0.023782559,0.096262741,0.105322763,0.08380521,0.053227633,0.024915062,0.028312571,0.080407701,0.032842582,0.006795017,0.003397508,0.006795017,0.073612684,0.027180068,,0.006795017,0.002265006,0.021517554,0.005662514,0.001132503,0.001132503,0.002265006,0.00792752,0.004530011,,0.002265006,,,0.002265006,0.024915062,,0.004530011,,,0.001132503,,,,0.001132503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.744,10.8
9,그문화다방,와인,서울특별시 마포구 당인동 28-9 ,192889.1172,449249.751,,510,476,예약필수! 비프 웰링턴 | 엔초비 파스타 | 계절 파스타 | 채끝 스테이크 | 홈메이드 라자냐,"48,000 | 14,000 | 18,000 | 32,000 | 16,000",0.191834727,,0.038858829,0.090014757,0.107230694,0.001967536,0.015740285,0.009837678,0.114117068,0.004426955,0.019675357,0.029021151,0.023610428,0.002951303,0.00245942,0.047220856,0.02508608,0.001475652,0.015248401,0.006394491,,0.001475652,0.09050664,0.000983768,0.000491884,0.001475652,0.005410723,0.000983768,0.001967536,,,0.02262666,,,0.116084604,,0.001967536,,,0.004426955,0.001967536,0.000491884,0.001475652,0.000491884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.751,10.4
